epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2680.4,0.63501,1.03923,0.50872,0.94497,0.59168,0.73311,0.65668,0.54472,0.60016,0.73964,0.66121,0.54088,0.73961,1.50124,1.11275,1.06814,0.000297226,0.000297226,0.000297226
85,2711.77,0.64551,1.04189,0.51111,0.95076,0.59321,0.75935,0.63336,0.51673,0.60015,0.76822,0.63633,0.51837,0.76904,1.48711,1.1612,1.08759,0.000280723,0.000280723,0.000280723
86,2743.27,0.62905,1.02587,0.49743,0.94369,0.59716,0.69822,0.61385,0.50398,0.60475,0.7071,0.61239,0.4959,0.75818,1.49239,1.17952,1.07581,0.00026422,0.00026422,0.00026422
87,2774.69,0.63102,1.03207,0.50506,0.94694,0.62914,0.72777,0.65156,0.54198,0.62497,0.73964,0.64967,0.5366,0.73766,1.44503,1.16381,1.0586,0.000247716,0.000247716,0.000247716
88,2806.04,0.62908,1.02452,0.49769,0.94186,0.61756,0.68343,0.63186,0.52866,0.62795,0.69908,0.63584,0.5216,0.72782,1.5064,1.16409,1.06057,0.000231213,0.000231213,0.000231213
89,2837.71,0.61895,0.99739,0.48135,0.94258,0.64098,0.67613,0.64401,0.53969,0.65232,0.69527,0.65454,0.5318,0.72326,1.43084,1.14594,1.04171,0.00021471,0.00021471,0.00021471
90,2869.18,0.61535,0.98544,0.48267,0.93588,0.62674,0.70542,0.65337,0.54524,0.63875,0.70118,0.65628,0.5449,0.71852,1.44627,1.11749,1.03738,0.000198206,0.000198206,0.000198206
91,2921.82,0.59778,0.96941,0.50307,0.94059,0.60658,0.68935,0.63064,0.51987,0.60358,0.68639,0.6354,0.52199,0.76269,1.56223,1.17698,1.06563,0.000181703,0.000181703,0.000181703
92,2951.32,0.59075,0.93355,0.45239,0.92678,0.61528,0.68343,0.62429,0.52078,0.62017,0.69079,0.63047,0.51265,0.74874,1.56938,1.21187,1.06737,0.0001652,0.0001652,0.0001652
93,2980.63,0.58336,0.93508,0.44982,0.92232,0.57566,0.72189,0.61255,0.51,0.60109,0.71598,0.61136,0.50053,0.725,1.53616,1.18467,1.04904,0.000148696,0.000148696,0.000148696
94,3009.96,0.56945,0.91929,0.44144,0.92468,0.58049,0.74556,0.61708,0.51082,0.58509,0.75148,0.61468,0.50821,0.73701,1.54037,1.16061,1.05756,0.000132193,0.000132193,0.000132193
95,3039.43,0.58558,0.93939,0.46578,0.92621,0.60381,0.70118,0.62991,0.52462,0.59797,0.72609,0.63062,0.52024,0.74383,1.51039,1.18639,1.06282,0.00011569,0.00011569,0.00011569
96,3068.82,0.57471,0.93229,0.44353,0.92613,0.59771,0.7071,0.63613,0.53107,0.60038,0.72007,0.63788,0.52652,0.72927,1.50539,1.16689,1.05347,9.91865e-05,9.91865e-05,9.91865e-05
97,3098.31,0.56958,0.91318,0.43499,0.9194,0.59294,0.74555,0.62451,0.52189,0.59822,0.75444,0.62568,0.51846,0.7269,1.48777,1.15301,1.05021,8.26832e-05,8.26832e-05,8.26832e-05
98,3127.76,0.56084,0.9102,0.42579,0.91551,0.61684,0.7071,0.62698,0.52584,0.62229,0.71166,0.62392,0.51742,0.71948,1.50255,1.16093,1.04793,6.61799e-05,6.61799e-05,6.61799e-05
99,3157.21,0.55315,0.88992,0.41666,0.91321,0.61188,0.72781,0.62724,0.52466,0.61667,0.72819,0.62843,0.52013,0.72811,1.4989,1.19458,1.0513,4.96766e-05,4.96766e-05,4.96766e-05
100,3186.62,0.57219,0.92471,0.44434,0.9242,0.6104,0.71302,0.64295,0.53725,0.61829,0.71598,0.64281,0.53358,0.73055,1.5011,1.17583,1.05491,3.31733e-05,3.31733e-05,3.31733e-05
